subject,model,task,requested_seconds,effective_seconds,permutation,balanced_accuracy
t12,shrinkage_lda,imagined_word,0.5,0.5,0,0.03571428571428571
t12,shrinkage_lda,imagined_word,0.5,0.5,1,0.14285714285714285
t12,shrinkage_lda,imagined_word,0.5,0.5,2,0.14285714285714285
t12,shrinkage_lda,imagined_word,0.5,0.5,3,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,4,0.2857142857142857
t12,shrinkage_lda,imagined_word,0.5,0.5,5,0.07142857142857142
t12,shrinkage_lda,imagined_word,0.5,0.5,6,0.03571428571428571
t12,shrinkage_lda,imagined_word,0.5,0.5,7,0.17857142857142858
t12,shrinkage_lda,imagined_word,0.5,0.5,8,0.17857142857142858
t12,shrinkage_lda,imagined_word,0.5,0.5,9,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,10,0.14285714285714285
t12,shrinkage_lda,imagined_word,0.5,0.5,11,0.17857142857142858
t12,shrinkage_lda,imagined_word,0.5,0.5,12,0.14285714285714285
t12,shrinkage_lda,imagined_word,0.5,0.5,13,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,14,0.03571428571428571
t12,shrinkage_lda,imagined_word,0.5,0.5,15,0.03571428571428571
t12,shrinkage_lda,imagined_word,0.5,0.5,16,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,17,0.03571428571428571
t12,shrinkage_lda,imagined_word,0.5,0.5,18,0.25
t12,shrinkage_lda,imagined_word,0.5,0.5,19,0.21428571428571427
t12,shrinkage_lda,imagined_word,0.5,0.5,20,0.07142857142857142
t12,shrinkage_lda,imagined_word,0.5,0.5,21,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,22,0.07142857142857142
t12,shrinkage_lda,imagined_word,0.5,0.5,23,0.21428571428571427
t12,shrinkage_lda,imagined_word,0.5,0.5,24,0.07142857142857142
t12,shrinkage_lda,imagined_word,0.5,0.5,25,0.07142857142857142
t12,shrinkage_lda,imagined_word,0.5,0.5,26,0.25
t12,shrinkage_lda,imagined_word,0.5,0.5,27,0.17857142857142858
t12,shrinkage_lda,imagined_word,0.5,0.5,28,0.03571428571428571
t12,shrinkage_lda,imagined_word,0.5,0.5,29,0.17857142857142858
t12,shrinkage_lda,imagined_word,0.5,0.5,30,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,31,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,32,0.14285714285714285
t12,shrinkage_lda,imagined_word,0.5,0.5,33,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,34,0.0
t12,shrinkage_lda,imagined_word,0.5,0.5,35,0.14285714285714285
t12,shrinkage_lda,imagined_word,0.5,0.5,36,0.14285714285714285
t12,shrinkage_lda,imagined_word,0.5,0.5,37,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,38,0.25
t12,shrinkage_lda,imagined_word,0.5,0.5,39,0.21428571428571427
t12,shrinkage_lda,imagined_word,0.5,0.5,40,0.17857142857142858
t12,shrinkage_lda,imagined_word,0.5,0.5,41,0.07142857142857142
t12,shrinkage_lda,imagined_word,0.5,0.5,42,0.14285714285714285
t12,shrinkage_lda,imagined_word,0.5,0.5,43,0.07142857142857142
t12,shrinkage_lda,imagined_word,0.5,0.5,44,0.03571428571428571
t12,shrinkage_lda,imagined_word,0.5,0.5,45,0.10714285714285714
t12,shrinkage_lda,imagined_word,0.5,0.5,46,0.14285714285714285
t12,shrinkage_lda,imagined_word,0.5,0.5,47,0.17857142857142858
t12,shrinkage_lda,imagined_word,0.5,0.5,48,0.17857142857142858
t12,shrinkage_lda,attempted_word,0.5,0.5,0,0.10714285714285714
t12,shrinkage_lda,attempted_word,0.5,0.5,1,0.07142857142857142
t12,shrinkage_lda,attempted_word,0.5,0.5,2,0.10714285714285714
t12,shrinkage_lda,attempted_word,0.5,0.5,3,0.14285714285714285
t12,shrinkage_lda,attempted_word,0.5,0.5,4,0.14285714285714285
t12,shrinkage_lda,attempted_word,0.5,0.5,5,0.25
t12,shrinkage_lda,attempted_word,0.5,0.5,6,0.14285714285714285
t12,shrinkage_lda,attempted_word,0.5,0.5,7,0.14285714285714285
t12,shrinkage_lda,attempted_word,0.5,0.5,8,0.0
t12,shrinkage_lda,attempted_word,0.5,0.5,9,0.10714285714285714
t12,shrinkage_lda,attempted_word,0.5,0.5,10,0.07142857142857142
t12,shrinkage_lda,attempted_word,0.5,0.5,11,0.10714285714285714
t12,shrinkage_lda,attempted_word,0.5,0.5,12,0.25
t12,shrinkage_lda,attempted_word,0.5,0.5,13,0.17857142857142858
t12,shrinkage_lda,attempted_word,0.5,0.5,14,0.35714285714285715
t12,shrinkage_lda,attempted_word,0.5,0.5,15,0.03571428571428571
t12,shrinkage_lda,attempted_word,0.5,0.5,16,0.14285714285714285
t12,shrinkage_lda,attempted_word,0.5,0.5,17,0.07142857142857142
t12,shrinkage_lda,attempted_word,0.5,0.5,18,0.07142857142857142
t12,shrinkage_lda,attempted_word,0.5,0.5,19,0.07142857142857142
t12,shrinkage_lda,attempted_word,0.5,0.5,20,0.10714285714285714
t12,shrinkage_lda,attempted_word,0.5,0.5,21,0.17857142857142858
t12,shrinkage_lda,attempted_word,0.5,0.5,22,0.14285714285714285
t12,shrinkage_lda,attempted_word,0.5,0.5,23,0.25
t12,shrinkage_lda,attempted_word,0.5,0.5,24,0.07142857142857142
t12,shrinkage_lda,attempted_word,0.5,0.5,25,0.14285714285714285
t12,shrinkage_lda,attempted_word,0.5,0.5,26,0.17857142857142858
t12,shrinkage_lda,attempted_word,0.5,0.5,27,0.25
t12,shrinkage_lda,attempted_word,0.5,0.5,28,0.17857142857142858
